"LEA_STATE_NAME","TOT_RET_G12_M","SCH_SAL_TOTPERS_WOFED","SCH_FTE_TEACH_WOFED","SCH_SAL_TEACH_WOFED","SCH_NPE_WOFED","SCH_FTE_AID_WOFED","SCH_SAL_AID_WOFED","SCH_FTE_SUP_WOFED","SCH_SAL_SUP_WOFED","SCH_FTE_ADM_WOFED","SCH_SAL_ADM_WOFED","SCH_SAL_TEACH_WFED","SCH_FTE_AID_WFED","SCH_SAL_AID_WFED","SCH_FTE_SUP_WFED","SCH_SAL_SUP_WFED","SCH_FTE_ADM_WFED","SCH_SAL_ADM_WFED","SCH_SAL_TOTPERS_WFED","SCH_NPE_WFED","SCH_FTETEACH_TOT","SCH_FTETEACH_CERT","SCH_FTETEACH_NOTCERT","SCH_FTETEACH_FY","SCH_FTETEACH_SY","SCH_TEACHERS_CURR_TOT","SCH_TEACHERS_PREV_TOT","SCH_FTECOUNSELORS","SCH_FTETEACH_ABSENT","SCH_FTESECURITY_LEO","SCH_FTESECURITY_GUA","SCH_FTESERVICES_NUR","SCH_FTESERVICES_PSY","SCH_FTESERVICES_SOC"
"ALABAMA",0,1750401,17,1134580.5,28416.75,2.75,50049.25,3,163338,4.5,191149,1198188.75,4.75,76650.25,3,163338,4.5,191149,2082265.5,172640.75,17,17,0,0,1,27,26,1,3,0.5,0,1,0,0
"ALABAMA",4,1324518.2,22.5,1324518.2,1033224.32,0,0,3,88381.34,1.25,99632.87,1136503.99,0,0,3,88381.34,1025,99632.87,1577198.8,1033224.32,22.5,21.5,1,1,2,23,22,1,19,1,0,1,0,0
"ALABAMA",2,2702854,49,1998983,1277533,22,204707,3,137072,4,362092,1998983,22,204707,3,255122,4,416272,3044842,1516158,49,49,0,0,0,71,70,2,0,1,0,1,0,0
"ALABAMA",2,1762716,41,1762716,1015340,5,95658,4,221841,2,157035,1923116,5,95658,4,221841,2,157035,474534,1247089,41,41,0,5,1,41,28,2,31,1,0,1,0,0
"ALABAMA",12,5510015,80,5510015,648476,22,322164,14,240894,17,601499,5111667,22,322164,14,240894,17,504808,5510015,648476,80,80,0,3,7,151,151,3,18,1,0,1,0,0
"ALABAMA",2,966015.62,14.33,934429.8,2653,0,0,2,142285.36,1.5,143548.21,1483816.9,2,59589.34,2.32,149217.04,2,143548.21,352354.59,0,22,21,1,1,0,22,22,1,8,1,0,1,0,1
"ALABAMA",5,944353,11,884950,10225,0,0,1,59403,1,76810,1024391,1,31292,1.5,96711,1,127048,255051,23353,11,10,1,1,0,18,15,1,4,0,0,0,0,0
"ALABAMA",2,4307360.86,31,1537299,691886.2,1,14520.74,4,173068.45,2,141627,1537299.57,1,14520.74,4,173068.45,2,141627,1999717.34,691886.2,32,32,0,3,3,32,38,2,11,1,2,1,0,0
"ALABAMA",2,2498154.3,30,1545749.93,300169.82,2,40981.33,21,674307.71,3,237115.33,1545749.93,5,40981.33,27,815919.64,3,237115.33,269766.23,300169.82,30,30,0,1,1,29,23,1,12,1,0,1,0,0
"ALABAMA",0,5263024.88,75,3875095.97,667584.14,2,37994.99,26,1061395.18,5,288538.74,3875095.97,7,37994.99,38,1348184.73,5,288538.74,1674718.33,667584.14,75,75,0,4,8,71,50,3,25,1,0,1,0,0
"ALABAMA",41,6785714.33,92,4859418.63,483047.7,2,33115.24,41.5,1413724.57,6,479455.89,4859418.63,10,33115.24,55.5,1759922.32,6,479455.89,2272493.45,483047.7,92,92,0,3,6,102,99,2,22,2,0,2,0,0.25
"ALABAMA",2,957169.1,22.21,745804.42,23281.85,0,0,4.38,121998,3.06,89366.46,118752.4,1.5,36158,6.38,147423.52,3,89366.46,1018752.4,77538.02,22.21,20.21,2,1,0,20,40,1,0,1,2,1,0,0
"ALABAMA",11,3642881,73,2927629,449575,8,188033,7.5,262175,3.5,265044,2997936,18,322402,7.5,262175,4,297846,3852033,449575,74,74,0,6,7,76,60,4,34,1,3,1,0,0
"ALABAMA",87,5183173,105,4218311,494353,10,215919,9,393886,5,355057,4239471,20,364497,9,393886,5,355057,5351911,494353,112,104,8,5,3,112,87,4,42,2,5,2,0,0
"ALABAMA",4,3560720,87,2841019,446731,5,99398,8,318442,3.5,301861,2987307,9,168799,8.5,318442,4,322025,3796573,446731,88,79,9,0,0,88,68,3,51,2,5,2,0,0
"ALABAMA",5,2536307,49,1820000,276307,5,95859,5,190634,3.5,249814,1878819,8,143495,5,194274,4,289256,2505844,276307,49.05,49.05,0,8,4,51,34,2,13,0,0,1,0,1
